source,target,weight
that,much,3.242816925048828
from,but,1.336127996444702
who,not,1.614256620407104
that,then,1.693339109420776
that,did,3.369932651519775
would,with,2.365185499191284
good,for,0.885375618934631
this,which,1.312535881996155
with,other,1.378754258155823
even,that,0.900309860706329
have,which,1.209370732307434
why,you,0.758275926113129
and,using,2.002326250076294
for,them,1.943682074546814
were,was,0.936397314071655
has,not,1.374756813049316
space,and,0.458343446254730
you,who,1.844026207923889
that,how,2.333383560180664
are,their,1.210611939430237
that,many,2.000355720520020
and,image,2.486159563064575
are,will,1.003690719604492
are,any,1.484027981758118
was,have,1.577120542526245
for,only,1.995271325111389
are,people,1.160611033439636
this,time,2.200951814651489
this,only,1.447512507438660
that,well,2.523981571197510
for,these,3.024417877197266
were,for,0.872077703475952
better,than,0.698206245899200
that,very,3.322960376739502
and,want,1.822129249572754
use,you,1.082685112953186
one,have,0.973107933998108
for,years,2.412749052047729
does,anyone,0.855720639228821
and,need,1.695080637931824
there,not,1.286297678947449
can,are,1.233547925949097
very,that,0.985299110412598
this,just,1.548362135887146
other,you,0.707734704017639
was,were,1.608258485794067
down,and,0.650966227054596
have,was,2.165996074676514
such,that,0.882237255573273
your,this,1.377964138984680
their,for,1.814656615257263
for,when,2.227594137191772
may,that,0.868507862091064
about,are,1.128004789352417
have,them,1.299252748489380
that,into,2.757428169250488
with,any,1.843551874160767
can,any,1.482158541679382
can,what,1.722423672676086
that,good,4.113935470581055
need,and,1.022920846939087
and,being,2.507996797561646
from,they,1.488059759140015
good,that,0.854797363281250
out,this,0.740489184856415
about,what,1.575051903724670
for,his,3.166836023330688
get,this,0.995280086994171
people,they,1.018136262893677
with,has,1.349547386169434
his,was,2.053891658782959
that,used,2.240157127380371
was,his,1.887759208679199
they,was,2.426913976669312
your,have,1.423453688621521
for,than,2.943688869476318
government,and,0.669856727123260
know,but,1.250305891036987
and,others,1.965654730796814
was,all,1.217741847038269
all,they,1.377732872962952
only,you,1.384172439575195
they,from,2.148764371871948
that,our,3.334903717041016
read,and,0.629077494144440
use,this,1.113804697990417
this,some,1.965475678443909
you,also,1.766275405883789
should,have,1.277579545974731
bit,and,0.705233156681061
would,but,1.896583914756775
which,was,1.591791629791260
where,and,0.750954926013947
for,those,2.340590000152588
even,and,0.840825140476227
you,might,0.860636413097382
and,since,2.300925970077515
which,can,1.574611902236938
are,than,1.416292309761047
all,but,1.237065672874451
what,would,1.419392585754395
had,was,0.953381299972534
other,are,0.729762315750122
take,and,0.794011414051056
not,sure,0.960265398025513
sure,that,1.312416672706604
know,for,1.395710825920105
but,from,1.210661053657532
said,and,0.682018041610718
some,with,1.498174190521240
you,which,1.121053814888000
for,just,2.134283542633057
could,have,0.777308523654938
number,and,0.725879311561584
for,information,2.647144794464111
and,while,2.484297513961792
this,also,2.067965030670166
power,and,0.513347566127777
don,but,1.366521000862122
people,for,1.020499467849731
that,doesn,2.396826267242432
here,that,0.783315360546112
into,that,0.622007906436920
that,right,2.622201442718506
and,off,2.930490493774414
there,can,1.242344617843628
think,this,1.101095318794250
year,and,0.761796653270721
have,more,1.745519995689392
only,one,1.431316733360291
how,this,1.123636364936829
that,those,2.523276090621948
has,you,1.031291365623474
you,were,1.671746611595154
does,this,1.028667211532593
are,only,0.959981441497803
and,find,1.819348454475403
are,other,1.109873652458191
when,are,1.046151995658875
about,with,1.481380581855774
new,york,0.852697491645813
that,might,1.497351408004761
people,you,0.841899037361145
how,are,1.126237273216248
for,new,2.831632137298584
from,can,1.584234356880188
are,also,1.371461629867554
some,but,1.201348662376404
who,this,1.245761871337891
want,and,0.926448166370392
you,when,1.380293846130371
this,more,1.894421696662903
are,these,1.455133080482483
any,with,2.065766572952271
had,for,0.887895047664642
have,will,1.394464135169983
which,with,1.656132817268372
them,for,1.975137591362000
but,has,0.952824234962463
but,think,1.115133643150330
than,for,1.425704836845398
can,they,1.446741342544556
don,for,1.525441884994507
about,have,1.162551999092102
and,too,2.494678497314453
people,not,1.122288227081299
other,this,0.728077054023743
you,only,1.236338973045349
and,bit,2.353082895278931
that,same,2.541396141052246
did,and,0.673099219799042
these,that,1.160411596298218
own,and,0.539604067802429
have,out,2.265289306640625
system,that,0.600019037723541
this,does,1.634714365005493
will,but,1.310006260871887
and,take,2.324554920196533
with,his,1.892778992652893
any,would,1.771762371063232
and,here,2.586282968521118
out,with,0.974716663360596
did,that,0.720718026161194
which,this,1.258158802986145
but,all,0.862051427364349
there,one,0.997797846794128
and,number,2.239849328994751
there,but,1.047781348228455
was,when,1.327874779701233
find,that,0.817375600337982
not,know,1.403491497039795
time,for,1.074029445648193
new,for,0.997297763824463
not,because,1.220214128494263
can,use,1.641868710517883
and,through,2.591713190078735
can,your,1.349601149559021
from,one,1.272389531135559
their,are,1.543663263320923
set,and,0.637435019016266
that,being,2.755255699157715
for,how,2.164444208145142
with,them,1.161714673042297
for,out,3.388872146606445
you,make,1.883583903312683
them,are,1.680179119110107
about,not,1.458292245864868
people,with,1.140057086944580
some,not,1.474823713302612
was,who,1.773994565010071
this,when,1.616055488586426
